"id","avg_rating","num_ratings","title","genres","year"
4157728,5.5,2,"The Last Boy (2019)","Drama|Sci-Fi",2019
6823368,6.88,390,"Glass (2019)","Drama|Sci-Fi|Thriller",2019
4353250,7.0,3,"The Last Black Man in San Francisco (2019)","Drama",2019
8908002,6.33,3,"Luka Chuppi (2019)","Comedy|Romance",2019
3741700,6.19,168,"Godzilla: King of the Monsters (2019)","Action|Adventure|Fantasy|Sci-Fi",2019
8311958,7.0,1,"Divino Amor (2019)","Drama",2019
7131622,7.87,1081,"Once Upon a Time... in Hollywood (2019)","Comedy|Drama",2019
9770590,4.33,3,"Amy Schumer Growing (2019)","Comedy",2019
7594584,6.0,1,"Maria (2019)","Action|Crime|Drama|Thriller",2019
4913966,5.88,51,"The Curse of La Llorona (2019)","Horror|Mystery|Thriller",2019
3282076,6.0,2,"Domino (2019)","Crime|Thriller",2019
5719748,5.98,107,"Cold Pursuit (2019)","Action|Crime|Drama|Thriller",2019
8752474,7.22,9,"Justice League vs. the Fatal Five (2019)","Animation|Action|Fantasy|Sci-Fi",2019
9820594,9.0,1,"Misteri Dilaila (2019)","Horror|Thriller",2019
8130968,8.25,16,"Badla (2019)","Crime|Drama|Mystery|Thriller",2019
8291224,8.75,8,"Uri: The Surgical Strike (2019)","Action|Drama|War",2019
8242160,10.0,1,"4 latas (2019)","Comedy|Drama",2019
2365580,6.67,3,"Where'd You Go, Bernadette (2019)","Comedy|Drama|Mystery",2019
8707922,4.5,4,"Can You Keep a Secret? (2019)","Comedy|Romance",2019
9248940,10.0,1,"Dream Girl (2019)","Comedy|Romance",2019
9356952,5.5,2,"The Death of Dick Long (2019)","Comedy|Crime|Drama",2019
10643608,8.0,1,"Apocalypse Now: Final Cut (2019)","Drama|Mystery|War",2019
7639372,2.0,1,"Total Dhamaal (2019)","Action|Adventure|Comedy",2019
2155399,7.0,1,"Variações (2019)","Biography|Drama|Music|Romance",2019
9817070,5.67,3,"Metri Shesh Va Nim (2019)","Crime|Drama",2019
8522820,5.0,1,"The Warden (2019)","Drama|Mystery|Romance",2019
5238904,6.0,3,"Assimilate (2019)","Horror|Sci-Fi|Thriller",2019
9418878,10.0,1,"Kiz Kardesler (2019)","Drama",2019
4126476,5.06,18,"After (2019)","Drama|Romance",2019
10127546,10.0,1,"The Lehman Trilogy (2019)","Drama",2019
8442644,6.0,1,"Organize Isler: Sazan Sarmali (2019)","Comedy",2019
7790894,4.0,1,"Ciemno, prawie noc (2019)","Crime|Drama",2019
4364194,8.5,2,"The Peanut Butter Falcon (2019)","Adventure",2019
8291806,8.29,21,"Dolor y gloria (2019)","Drama",2019
7643622,6.0,1,"The World We Make (2019)","Drama",2019
10215424,8.4,5,"Liam: As It Was (2019)","Documentary|Music",2019
9228950,1.0,1,"Malibu Rescue (2019)","Action|Adventure|Comedy|Family",2019
6806448,6.75,297,"Fast &amp; Furious Presents: Hobbs &amp; Shaw (2019)","Action|Adventure",2019
7200946,4.5,8,"Oh, Ramona! (2019)","Comedy|Romance",2019
7958736,5.43,53,"Ma (2019)","Horror|Thriller",2019
5687236,4.5,2,"La Misma Sangre (2019)","Drama|Mystery|Thriller",2019
10147546,8.54,13,"Homecoming: A Film by Beyoncé (2019)","Documentary|Music",2019
7019942,7.33,3,"Super Deluxe (2019)","Action|Crime|Drama|Thriller",2019
9657764,6.0,1,"Yi wen ding qing (2019)","Comedy|Romance",2019
7427356,5.33,6,"The Last Laugh (2019)","Comedy",2019
9577852,8.33,3,"Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese (2019)","Documentary",2019
7216068,8.0,1,"See You Soon (2019)","Drama|Romance",2019
7706168,7.75,4,"The Spy Who Fell to Earth (2019)","Documentary|Mystery",2019
8976832,3.0,1,"¿A quién te llevarías a una isla desierta? (2019)","Drama",2019
9735672,7.0,1,"Eiga Doraemon: Nobita no getsumen tansaki (2019)","Animation|Action|Adventure|Comedy|Crime|Family|Fantasy|Sci-Fi",2019
7139936,6.56,9,"A Rainy Day in New York (2019)","Comedy",2019
8484012,7.0,1,"Sword of Trust (2019)","Comedy|Drama",2019
4523910,7.0,1,"Chicuarotes (2019)","Drama",2019
3016748,3.0,2,"Jacob's Ladder (2019)","Drama|Horror|Mystery|Thriller",2019
10452036,6.0,1,"Wo de qing chun dou shi ni (2019)","Drama",2019
7294400,5.0,1,"Mirreyes contra Godinez (2019)","Comedy",2019
10195976,7.0,1,"Zui hao de wo men (2019)","Drama|Romance",2019
8201170,6.15,27,"The Perfect Date (2019)","Comedy|Romance",2019
1489887,7.1,68,"Booksmart (2019)","Comedy",2019
10545076,10.0,1,"Bring The Soul: The Movie (2019)","Documentary|Music",2019
9271408,8.0,1,"Uyare (2019)","Drama",2019
7957694,5.67,12,"The Last Summer (2019)","Comedy",2019
8220332,5.0,1,"La boda de mi mejor amigo (2019)","Comedy",2019
8169446,5.9,21,"Wine Country (2019)","Comedy",2019
7778680,9.0,1,"Photograph (2019)","Drama|Romance",2019
7715070,7.5,2,"Horrible Histories: The Movie - Rotten Romans (2019)","Comedy|Family",2019
6803212,6.0,1,"Don't Let Go (2019)","Drama|Fantasy|Horror|Mystery|Thriller",2019
4807408,6.5,2,"The Best of Enemies (2019)","Biography|Drama|History",2019
9150970,6.0,8,"A pesar de todo (2019)","Comedy",2019
7587984,1.0,1,"The Knight of Shadows: Between Yin and Yang (2019)","Action|Fantasy|Romance",2019
10520800,7.0,1,"The Comedy Central Roast of Alec Baldwin (2019)","Comedy",2019
6398184,8.25,8,"Downton Abbey (2019)","Drama",2019
6107548,6.8,10,"Late Night (2019)","Comedy|Drama",2019
5884052,6.58,232,"Pokémon Detective Pikachu (2019)","Action|Adventure|Comedy|Family|Mystery|Sci-Fi",2019
5316540,6.0,22,"Close (2019)","Action|Thriller",2019
7867670,7.6,5,"122 (2019)","Thriller",2019
6643972,5.6,10,"Triple Threat (2019)","Action|Thriller",2019
8155288,6.26,69,"Happy Death Day 2U (2019)","Drama|Horror|Mystery|Sci-Fi|Thriller",2019
6565702,6.22,214,"Dark Phoenix (2019)","Action|Adventure|Sci-Fi",2019
9082020,4.5,2,"Cold Blood Legacy (2019)","Action|Thriller",2019
9358084,3.0,1,"The Amazing Johnathan Documentary (2019)","Documentary",2019
10161238,6.4,5,"Miss &amp; Mrs. Cops (2019)","Comedy|Crime",2019
7547410,6.04,184,"Dora and the Lost City of Gold (2019)","Adventure|Family",2019
10550884,7.0,1,"The Divine Fury (2019)","Action|Horror|Thriller",2019
10551450,7.0,1,"Twivortiare (2019)","Drama|Romance",2019
10589924,4.0,1,"Bridezilla (2019)","Comedy|Drama",2019
10648440,8.0,1,"Eksiteu (2019)","Adventure|Comedy",2019
3758162,7.5,2,"A Score to Settle (2019)","Action|Drama|Thriller",2019
10656222,3.0,1,"Warkop DKI Reborn (2019)","Adventure|Comedy",2019
5968394,5.67,24,"Captive State (2019)","Sci-Fi|Thriller",2019
6811018,5.55,20,"The Kid Who Would Be King (2019)","Action|Adventure|Family|Fantasy",2019
5113040,6.92,50,"The Secret Life of Pets 2 (2019)","Animation|Adventure|Comedy|Family",2019
7374948,7.02,47,"Always Be My Maybe (2019)","Comedy",2019
8075260,6.82,22,"Someone Great (2019)","Comedy|Romance",2019
4504044,6.74,35,"The Prodigy (2019)","Horror|Thriller",2019
